[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 1/893 baseline_compare/round4_full_revert score=-6.721 IS=129 +68.3R PF=2.27 OOS=4 -2.0R PF=0.34 strict=False repair=False
[alpha-repair] 2/893 ablation_all_rounds/ablate_cluster_round_1_phase_2_score score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 3/893 ablation_all_rounds/ablate_cluster_round_1_phase_1_block score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 4/893 ablation_all_rounds/ablate_cluster_round_1_phase_2_displacement score=+0.376 IS=160 +60.2R PF=1.82 OOS=6 +7.4R PF=4.67 strict=False repair=False
[alpha-repair] 5/893 ablation_all_rounds/ablate_cluster_round_1_phase_2_vol score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 6/893 ablation_all_rounds/ablate_cluster_round_1_phase_3_loss score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 7/893 ablation_all_rounds/ablate_cluster_round_1_phase_3_min score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 8/893 ablation_all_rounds/ablate_cluster_round_1_phase_3_block score=+0.309 IS=247 +106.4R PF=1.80 OOS=8 +3.1R PF=1.77 strict=False repair=False
[alpha-repair] 9/893 ablation_all_rounds/ablate_cluster_round_3_phase_1_partial score=+0.273 IS=164 +76.5R PF=2.05 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 10/893 ablation_all_rounds/ablate_key_TP1_PARTIAL_PCT score=+0.273 IS=164 +76.5R PF=2.05 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 11/893 ablation_all_rounds/ablate_key_TP2_PARTIAL_PCT score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 12/893 ablation_all_rounds/ablate_cluster_round_3_phase_1_tp2 score=-1.215 IS=161 +80.7R PF=2.11 OOS=6 +3.3R PF=2.10 strict=False repair=False
[alpha-repair] 13/893 ablation_all_rounds/ablate_cluster_round_3_phase_1_tp1 score=+1.317 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 14/893 ablation_all_rounds/ablate_cluster_round_4_phase_5_min score=+0.745 IS=128 +67.6R PF=2.28 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 15/893 ablation_all_rounds/ablate_cluster_round_4_phase_5_entry score=-1.506 IS=163 +79.5R PF=2.09 OOS=6 +3.2R PF=2.06 strict=False repair=False
