name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
reclaim__or_avwap__structure_stop__buffer_0p0025,entry_expansion,286.76502616751355,29967.999999999996,69.56525213068181,1.6564888405878695,0.1257092987557746,55.833294112624266,2822.3299999999986,58.84583333333334,3.052469292919011,0.017093820496568417,False,True,False,1.0492319133705836
combo__entry_expansion__capacity,orthogonal_combination,279.72623599587394,38963.22999999999,62.08558238636363,1.8365130431328847,0.10572132636137595,50.47215982990534,2864.110000000009,59.353125000000006,2.939337102617071,0.028153881749153307,True,True,False,1.0490614578740645
combo_balanced__selection30__flow8,balanced_geometry_combination,255.65573345400637,31699.06,57.32972301136363,1.869192518141847,0.11371949581328096,56.29197988724759,2757.080000000006,56.81666666666667,3.535642353287421,0.01887807170957054,True,True,False,1.0434785656384975
reclaim__or_avwap__structure_stop,entry_expansion,279.3597139005466,29769.33000000001,69.47878196022727,1.6330761558631572,0.13452662963568068,54.3025511893389,2923.2100000000064,59.86041666666667,3.0876343510087603,0.016430894343595046,False,True,False,1.0387343874872774
combo_balanced__geom125__selection30,balanced_geometry_combination,254.83915133801,31713.76,56.03267045454545,1.8911448518952916,0.11381728529243798,56.82135190380709,2686.6100000000065,54.7875,3.5937035392249705,0.019785000563735545,True,True,False,1.0374380298991621
combo__signal_geometry__selection_expansion,orthogonal_combination,253.74065026451171,30787.710000000003,55.42737926136363,1.8851909109806626,0.109822364209112,57.04332195157073,2722.250000000007,53.77291666666667,3.704884640607311,0.019791342629535875,True,True,False,1.0373681783650426
combo_balanced__geom125__selection30__mfeoff,balanced_geometry_combination,254.6715271988848,31674.12,56.03267045454545,1.889529823737612,0.11381728529243798,56.82135190380709,2686.6100000000065,54.7875,3.5937035392249705,0.019785000563735545,True,True,False,1.037174803881434
reclaim__or_avwap__structure_stop__minrisk_0p75,entry_expansion,295.76284142730685,32209.14000000001,69.65172230113636,1.6894566611083404,0.13948703834895437,50.8683581161712,2872.6500000000005,59.353125000000006,3.1495435498353834,0.015429549613768627,False,True,True,1.0338635811793675
combo__capacity__signal_quality_sizing,orthogonal_combination,271.2931918338883,33700.84,58.62677556818181,1.8787418607586088,0.1143820221040238,51.581033491824876,2798.650000000008,56.81666666666667,3.2966108649269814,0.022120537498532735,True,True,True,1.0325438166606375
reclaim__or_avwap__structure_stop__minrisk_0p9,entry_expansion,275.8258453512265,31428.089999999997,69.65172230113636,1.693255272854329,0.1266426302061945,48.773697918310965,2878.9200000000014,59.86041666666667,3.3753857324378362,0.014374771493182064,False,True,False,1.0303438342510354
