         3465013 function calls (3353706 primitive calls) in 18.461 seconds

   Ordered by: cumulative time
   List reduced from 239 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008   18.851   18.851 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\output\stock\data_repair_recheck\profile_diagnostics_timing.py:150(_run)
        1    3.828    3.828   18.691   18.691 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:230(run)
    83176    1.328    0.000    3.483    0.000 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:1496(_try_entry)
      530    1.848    0.003    3.032    0.006 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:1473(get_5m_bar_objects_for_date)
    87083    1.816    0.000    2.667    0.000 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\analysis\alcb_shadow_tracker.py:72(update_bar)
75348/1291    0.689    0.000    1.681    0.001 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:118(deepcopy)
    83176    1.068    0.000    1.619    0.000 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:940(_update_rearm_state)
3665/1250    0.087    0.000    1.614    0.001 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:247(_reconstruct)
      123    0.005    0.000    1.562    0.013 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:214(_replay_core_step)
      123    0.008    0.000    1.556    0.013 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\shared\parity\replay_driver.py:28(run_replay)
 6899/328    0.145    0.000    1.440    0.004 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:200(_deepcopy_tuple)
 3792/328    0.145    0.000    1.418    0.004 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:217(_deepcopy_dict)
    87083    0.296    0.000    1.277    0.000 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:1260(_fill_pending_entry)
   810420    1.213    0.000    1.213    0.000 {method 'get' of 'dict' objects}
   721884    0.939    0.000    0.939    0.000 {method 'append' of 'list' objects}
      918    0.055    0.000    0.836    0.001 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:521(_exit_cascade)
       41    0.007    0.000    0.747    0.018 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:1977(_close_position)
    84139    0.718    0.000    0.718    0.000 {method 'astimezone' of 'datetime.datetime' objects}
      123    0.010    0.000    0.707    0.006 C:\Users\sehyu\Documents\Other\Projects\trading\strategies\stock\alcb\core\logic.py:222(on_order_update)
      505    0.027    0.000    0.432    0.001 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\extension.py:92(method)
       82    0.001    0.000    0.423    0.005 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\alcb_engine.py:218(<lambda>)
       82    0.009    0.000    0.422    0.005 C:\Users\sehyu\Documents\Other\Projects\trading\strategies\stock\alcb\core\logic.py:75(on_bar)
       82    0.006    0.000    0.418    0.005 C:\Users\sehyu\Documents\Other\Projects\trading\strategies\stock\alcb\core\logic.py:297(on_fill)
      505    0.369    0.001    0.405    0.001 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\datetimes.py:1113(to_pydatetime)
   190126    0.363    0.000    0.363    0.000 {built-in method builtins.getattr}
    90459    0.261    0.000    0.345    0.000 {built-in method builtins.max}
      109    0.001    0.000    0.299    0.003 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1308(asdict)
15017/109    0.069    0.000    0.298    0.003 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1332(_asdict_inner)
    59493    0.209    0.000    0.278    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.275    0.275 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\shared\parity\legacy_result_outputs.py:128(trade_outcomes_from_records)
        1    0.001    0.001    0.275    0.275 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\shared\parity\trade_outcomes.py:70(normalize_trade_outcome_stream)
       41    0.000    0.000    0.274    0.007 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\shared\parity\trade_outcomes.py:74(normalize_trade_outcome_dict)
191437/191427    0.271    0.000    0.271    0.000 {built-in method builtins.len}
      505    0.008    0.000    0.240    0.000 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:5385(__getitem__)
       27    0.000    0.000    0.237    0.009 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:1203(alcb_selection_for_date)
       27    0.001    0.000    0.237    0.009 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:653(_alcb_settings_signature)
      505    0.026    0.000    0.232    0.000 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:5437(_getitem_slice)
    84139    0.214    0.000    0.214    0.000 {method 'time' of 'datetime.datetime' objects}
11316/7632    0.027    0.000    0.205    0.000 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:252(<genexpr>)
    14920    0.085    0.000    0.157    0.000 C:\Users\sehyu\Documents\Other\Projects\trading\strategies\stock\alcb\risk.py:523(momentum_stop_price)


