         14022959 function calls (12757279 primitive calls) in 190.570 seconds

   Ordered by: cumulative time
   List reduced from 1004 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  190.819  190.819 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\output\stock\data_repair_recheck\profile_diagnostics_timing.py:98(<lambda>)
        1    0.000    0.000  190.700  190.700 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\iaric_pullback_engine.py:2437(run)
        1    0.740    0.740  186.203  186.203 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\iaric_pullback_intraday_hybrid_engine.py:1655(run)
      110    0.308    0.003  151.181    1.374 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:1473(get_5m_bar_objects_for_date)
      110    0.003    0.000  150.693    1.370 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:1450(_ensure_5m_arrays)
       52    0.274    0.005  150.577    2.896 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:1441(_ensure_5m_data_loaded)
       52    0.550    0.011  139.992    2.692 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\research_replay.py:51(_build_date_index)
       52   20.541    0.395   70.817    1.362 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\data\calendar.py:201(session_dates)
      859   68.566    0.080   68.566    0.080 {built-in method numpy.asarray}
  4873591   49.850    0.000   49.864    0.000 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\datetimes.py:647(__iter__)
      254    0.023    0.000   20.574    0.081 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\engine\iaric_pullback_engine.py:1142(_replay_core_step)
      254    0.050    0.000   20.548    0.081 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\shared\parity\replay_driver.py:28(run_replay)
1116492/1134    9.342    0.000   20.468    0.018 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:118(deepcopy)
13715/1064    1.195    0.000   20.411    0.019 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:247(_reconstruct)
 9516/368    0.266    0.000   20.238    0.055 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:200(_deepcopy_tuple)
27071/368    2.681    0.000   20.213    0.055 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:217(_deepcopy_dict)
 8412/368    0.103    0.000   19.795    0.054 C:\Users\sehyu\AppData\Local\Programs\Python\Python312\Lib\copy.py:191(_deepcopy_list)
       52    0.006    0.000   10.311    0.198 C:\Users\sehyu\Documents\Other\Projects\trading\backtests\stock\data\cache.py:17(load_bars)
