name,group,eligible,oos_trades,oos_pf,oos_avg_r,oos_net_r,oos_trades_delta,oos_net_r_delta,is_trades,is_pf,is_avg_r,is_net_r,is_trades_delta,is_net_r_delta,patch
target_floor70_gap25_slots6,targeted_combo,True,19,1.422,0.070,1.322,7,3.047,1121,1.571,0.093,104.400,166,1.467,"{""param_overrides.pb_v2_gap_max_pct"": 2.5, ""param_overrides.pb_v2_open_scored_max_slots"": 6, ""param_overrides.pb_v2_signal_floor"": 70.0}"
sweep_signal_floor_70p0,single_perturbation,True,19,1.422,0.070,1.322,7,3.047,1103,1.600,0.097,106.608,148,3.676,"{""param_overrides.pb_v2_signal_floor"": 70.0}"
target_floor70_slots6,targeted_combo,True,19,1.422,0.070,1.322,7,3.047,1103,1.600,0.097,106.608,148,3.676,"{""param_overrides.pb_v2_open_scored_max_slots"": 6, ""param_overrides.pb_v2_signal_floor"": 70.0}"
target_sector3_floor70_slots6,targeted_combo,True,19,1.422,0.070,1.322,7,3.047,1056,1.607,0.098,103.357,101,0.425,"{""max_per_sector"": 3, ""param_overrides.pb_v2_open_scored_max_slots"": 6, ""param_overrides.pb_v2_signal_floor"": 70.0}"
target_floor70_rank75,targeted_combo,True,18,1.383,0.067,1.198,6,2.923,1041,1.590,0.095,99.205,86,-3.728,"{""param_overrides.pb_entry_rank_pct_max"": 75.0, ""param_overrides.pb_v2_signal_floor"": 70.0}"
target_floor70_carry50_mfe20,targeted_combo,True,19,1.241,0.044,0.827,7,2.552,1105,1.591,0.095,105.156,150,2.223,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5, ""param_overrides.pb_open_scored_carry_mfe_gate_r"": 0.2, ""param_overrides.pb_v2_signal_floor"": 70.0}"
sweep_partial_trigger_0p1,single_perturbation,True,12,1.342,0.055,0.666,0,2.391,961,2.635,0.175,167.885,6,64.953,"{""param_overrides.pb_v2_partial_profit_trigger_r"": 0.1}"
sweep_gap_min_neg5p0,single_perturbation,True,12,0.456,-0.142,-1.702,0,0.023,940,1.693,0.106,99.244,-15,-3.689,"{""param_overrides.pb_v2_gap_min_pct"": -5.0}"
disable_delayed_confirm,single_perturbation,True,12,0.456,-0.142,-1.702,0,0.023,929,1.688,0.107,99.000,-26,-3.933,"{""param_overrides.pb_delayed_confirm_enabled"": false}"
sweep_signal_floor_66p0,single_perturbation,False,34,1.553,0.089,3.032,22,4.757,1459,1.518,0.085,123.879,504,20.946,"{""param_overrides.pb_v2_signal_floor"": 66.0}"
sweep_signal_floor_68p0,single_perturbation,False,25,1.703,0.105,2.613,13,4.338,1291,1.511,0.085,109.427,336,6.494,"{""param_overrides.pb_v2_signal_floor"": 68.0}"
target_floor68_rank75_slots6,targeted_combo,False,23,1.544,0.088,2.023,11,3.748,1220,1.499,0.083,101.672,265,-1.261,"{""param_overrides.pb_entry_rank_pct_max"": 75.0, ""param_overrides.pb_v2_open_scored_max_slots"": 6, ""param_overrides.pb_v2_signal_floor"": 68.0}"
sweep_signal_floor_80p0,single_perturbation,False,5,1.161,0.028,0.141,-7,1.866,315,1.600,0.097,30.581,-640,-72.351,"{""param_overrides.pb_v2_signal_floor"": 80.0}"
sweep_gap_min_0p0,single_perturbation,False,7,1.096,0.013,0.094,-5,1.819,455,1.439,0.069,31.330,-500,-71.603,"{""param_overrides.pb_v2_gap_min_pct"": 0.0}"
sweep_sma_min_2p0,single_perturbation,False,9,0.919,-0.013,-0.113,-3,1.612,722,1.653,0.098,70.756,-233,-32.177,"{""param_overrides.pb_v2_sma_dist_min_pct"": 2.0}"
sweep_sma_min_0p0,single_perturbation,False,11,0.666,-0.064,-0.703,-1,1.022,931,1.724,0.109,101.698,-24,-1.234,"{""param_overrides.pb_v2_sma_dist_min_pct"": 0.0}"
sweep_sma_min_neg5p0,single_perturbation,False,11,0.666,-0.064,-0.703,-1,1.022,951,1.693,0.106,100.926,-4,-2.007,"{""param_overrides.pb_v2_sma_dist_min_pct"": -5.0}"
sweep_signal_floor_78p0,single_perturbation,False,6,0.551,-0.142,-0.853,-6,0.872,469,1.636,0.100,46.776,-486,-56.157,"{""param_overrides.pb_v2_signal_floor"": 78.0}"
target_sma_min0_carry50,targeted_combo,False,11,0.516,-0.106,-1.165,-1,0.559,931,1.645,0.101,94.360,-24,-8.573,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5, ""param_overrides.pb_v2_sma_dist_min_pct"": 0.0}"
rollback_signal_floor_75,accepted_rollback,False,7,0.416,-0.219,-1.531,-5,0.194,701,1.812,0.120,84.084,-254,-18.848,"{""param_overrides.pb_v2_signal_floor"": 75.0}"
rollback_floor75_stale6,accepted_rollback,False,7,0.416,-0.219,-1.531,-5,0.194,702,1.759,0.116,81.109,-253,-21.824,"{""param_overrides.pb_v2_signal_floor"": 75.0, ""param_overrides.pb_v2_stale_bars"": 6, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.05}"
rollback_floor75_sector2,accepted_rollback,False,7,0.416,-0.219,-1.531,-5,0.194,606,1.874,0.127,77.026,-349,-25.907,"{""max_per_sector"": 2, ""param_overrides.pb_v2_signal_floor"": 75.0}"
prefix_02_p4_partial_profit_020,accepted_prefix,False,7,0.407,-0.222,-1.554,-5,0.171,603,1.812,0.122,73.676,-352,-29.257,"{""param_overrides.pb_v2_partial_profit_trigger_r"": 0.2}"
sweep_signal_floor_74p0,single_perturbation,False,8,0.406,-0.195,-1.559,-4,0.166,773,1.728,0.111,85.635,-182,-17.297,"{""param_overrides.pb_v2_signal_floor"": 74.0}"
rollback_gap_1,accepted_rollback,False,11,0.473,-0.142,-1.564,-1,0.161,892,1.713,0.111,99.070,-63,-3.863,"{""param_overrides.pb_v2_gap_max_pct"": 1.0}"
sweep_gap_min_neg2p0,single_perturbation,False,12,0.472,-0.138,-1.652,0,0.073,892,1.651,0.101,89.689,-63,-13.243,"{""param_overrides.pb_v2_gap_min_pct"": -2.0}"
sweep_cdd_max_4,single_perturbation,False,12,0.456,-0.142,-1.702,0,0.023,862,1.689,0.107,92.287,-93,-10.645,"{""param_overrides.pb_cdd_max"": 4}"
prefix_03_p1_signal_floor_72_gap_max_1,accepted_prefix,False,10,0.420,-0.172,-1.722,-2,0.003,770,1.757,0.117,90.002,-185,-12.931,"{""param_overrides.pb_v2_gap_max_pct"": 1.0, ""param_overrides.pb_v2_signal_floor"": 72.0}"
sweep_cdd_max_999,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,960,1.727,0.110,105.820,5,2.887,"{""param_overrides.pb_cdd_max"": 999}"
sweep_sector_cap_5,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,974,1.705,0.108,105.268,19,2.336,"{""max_per_sector"": 5}"
sweep_flatten_loss_neg0p75,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,954,1.723,0.109,104.185,-1,1.252,"{""param_overrides.pb_v2_flatten_loss_r"": -0.75}"
sweep_daily_min_score_58p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,953,1.718,0.109,103.699,-2,0.766,"{""param_overrides.pb_daily_signal_min_score"": 58.0}"
routes_vwap_on,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,956,1.710,0.108,103.426,1,0.493,"{""param_overrides.pb_v2_vwap_bounce_enabled"": true}"
sweep_stale_8_0p05,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.707,0.108,103.424,0,0.492,"{""param_overrides.pb_v2_stale_bars"": 8, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.05}"
sweep_daily_min_score_56p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,953,1.713,0.108,103.321,-2,0.388,"{""param_overrides.pb_daily_signal_min_score"": 56.0}"
sweep_delayed_score_57p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,953,1.709,0.108,103.233,-2,0.300,"{""param_overrides.pb_delayed_confirm_score_min"": 57.0}"
sweep_stale_2_0p04,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,956,1.708,0.108,103.229,1,0.297,"{""param_overrides.pb_v2_stale_bars"": 2, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.04}"
sweep_gap_max_1p5,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,936,1.721,0.110,103.162,-19,0.230,"{""param_overrides.pb_v2_gap_max_pct"": 1.5}"
sweep_stale_4_0p05,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,954,1.708,0.108,103.156,-1,0.224,"{""param_overrides.pb_v2_stale_bars"": 4, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.05}"
sweep_flow_lookback_1,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.708,0.108,103.127,0,0.194,"{""param_overrides.pb_open_scored_flow_reversal_lookback"": 1}"
sweep_open_max_hold_3,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,953,1.711,0.108,103.088,-2,0.155,"{""param_overrides.pb_open_scored_max_hold_days"": 3}"
sweep_gap_min_neg8p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,949,1.716,0.109,103.017,-6,0.084,"{""param_overrides.pb_v2_gap_min_pct"": -8.0}"
sweep_ema_min_r_0p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,954,1.719,0.108,103.000,-1,0.067,"{""param_overrides.pb_v2_ema_reversion_min_r"": 0.0}"
current,baseline,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,{}
prefix_08_p5_combo_route_quarantine,accepted_prefix,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_delayed_confirm_after_bar"": 5, ""param_overrides.pb_delayed_confirm_score_min"": 52.0, ""param_overrides.pb_v2_afternoon_retest_enabled"": false, ""param_overrides.pb_v2_vwap_bounce_enabled"": false}"
