option,name,split,cohort,stack,entry_model,daily_filter,note,signals,avg_r,total_r,profit_factor_r,hit1_rate,hit2_rate,stop_rate,avg_mfe_r,avg_mae_r,avg_stop_atr,avg_entry_delay_bars,avg_depth,orderly_rate
baseline,current_confirm_market,train,ALL,current,confirm_market,,,262,0.06159103557313497,16.136851320161362,1.1331529078695322,0.5190839694656488,0.06870229007633588,0.4580152671755725,1.0480440154844146,0.9374139358042034,0.3254041527913181,1.0,0.6085322678960834,0.8320610687022901
baseline,current_confirm_market,train,QQQ,current,confirm_market,,,117,0.09401709401709402,11.0,1.2075471698113207,0.5470085470085471,0.042735042735042736,0.452991452991453,0.9891500723633633,0.9358065365494713,0.30970056557517844,1.0,0.6163782842488922,0.9487179487179487
baseline,current_confirm_market,train,GLD,current,confirm_market,,,145,0.03542656082869904,5.1368513201613615,1.0753310279763295,0.496551724137931,0.0896551724137931,0.46206896551724136,1.0955653351062282,0.9387109407200906,0.3380753231657206,1.0,0.6022013443562308,0.7379310344827587
baseline,current_confirm_market,oos,ALL,current,confirm_market,,,34,-0.23529411764705882,-8.0,0.6190476190476191,0.38235294117647056,0.029411764705882353,0.6176470588235294,0.8441501646230721,1.067209822076224,0.2783051324498893,1.0,0.6310003705398775,0.7941176470588235
baseline,current_confirm_market,oos,QQQ,current,confirm_market,,,16,-0.5,-8.0,0.3333333333333333,0.25,0.0,0.75,0.5815835692425396,1.2030876722170185,0.30699235207179576,1.0,0.5854901857773731,0.9375
baseline,current_confirm_market,oos,GLD,current,confirm_market,,,18,0.0,0.0,1.0,0.5,0.05555555555555555,0.5,1.077542693850212,0.9464295108399621,0.25280538167486133,1.0,0.6714538681065481,0.6666666666666666
option1,pb30_confirm_same,train,ALL,pb30,confirm_market,,,286,-0.058653438429259686,-16.77488339076827,0.8880727674945311,0.46153846153846156,0.07692307692307693,0.5209790209790209,0.9674171480178111,1.0561358005862613,0.2757224610747115,1.0,0.6325836182220831,0.3146853146853147
option1,pb30_confirm_same,train,QQQ,pb30,confirm_market,,,113,-0.09306693453550273,-10.516563602511809,0.8290450085855836,0.45132743362831856,0.07079646017699115,0.5398230088495575,0.9357903360907224,1.179383686032541,0.285925077099421,1.0,0.6389230944985221,0.3805309734513274
option1,pb30_confirm_same,train,GLD,pb30,confirm_market,,,173,-0.036175258891655834,-6.258319788256459,0.9291697170727576,0.4682080924855491,0.08092485549132948,0.5086705202312138,0.988075123438395,0.9756328465086334,0.26905832459614404,1.0,0.6284428042380507,0.27167630057803466
option1,pb30_confirm_same,oos,ALL,pb30,confirm_market,,,51,0.058823529411764705,3.0,1.125,0.5294117647058824,0.11764705882352941,0.47058823529411764,1.2556940228598898,0.9830933014859877,0.23563527285814637,1.0,0.6058607801506053,0.49019607843137253
option1,pb30_confirm_same,oos,QQQ,pb30,confirm_market,,,31,0.0967741935483871,3.0,1.2142857142857142,0.5483870967741935,0.0967741935483871,0.45161290322580644,1.1034857806571037,0.9746391958691004,0.23316348469998063,1.0,0.5753460330014707,0.5161290322580645
option1,pb30_confirm_same,oos,GLD,pb30,confirm_market,,,20,0.0,0.0,1.0,0.5,0.15,0.5,1.491616798274209,0.9961971651921633,0.23946654450330337,1.0,0.6531586382317638,0.45
option1,pb30_confirm_scaled,train,ALL,pb30,confirm_market,,,115,0.1960814625948194,22.54936819840423,1.497187032637014,0.5826086956521739,0.11304347826086956,0.391304347826087,1.1616837658360968,0.778513082534457,0.3478702289765765,1.0,0.6581755464160883,0.6956521739130435
option1,pb30_confirm_scaled,train,QQQ,pb30,confirm_market,,,46,0.17391304347826086,8.0,1.4210526315789473,0.5869565217391305,0.06521739130434782,0.41304347826086957,1.0232287483579463,0.7883717710508837,0.3900382251043732,1.0,0.6370177765674976,0.9347826086956522
option1,pb30_confirm_scaled,train,GLD,pb30,confirm_market,,,69,0.21086040867252506,14.54936819840423,1.5520765907263523,0.5797101449275363,0.14492753623188406,0.37681159420289856,1.2539871108215308,0.7719406235235056,0.31975823155804534,1.0,0.6722807263151489,0.5362318840579711
option1,pb30_confirm_scaled,oos,ALL,pb30,confirm_market,,,17,0.058823529411764705,1.0,1.125,0.5294117647058824,0.058823529411764705,0.47058823529411764,1.0715407969369939,0.8435320833872035,0.2703762720919622,1.0,0.6735745436528705,0.6470588235294118
option1,pb30_confirm_scaled,oos,QQQ,pb30,confirm_market,,,5,-0.2,-1.0,0.6666666666666666,0.4,0.0,0.6,0.7172542179605761,0.8145089923647053,0.34002746969821585,1.0,0.6569288033826546,1.0
option1,pb30_confirm_scaled,oos,GLD,pb30,confirm_market,,,12,0.16666666666666666,2.0,1.4,0.5833333333333334,0.08333333333333333,0.4166666666666667,1.2191602048438346,0.8556250379799111,0.2413549397560231,1.0,0.6805102687654606,0.5
option1,pb30_confirm_quality,train,ALL,pb30,confirm_market,,,119,0.06186046506005992,7.36139534214713,1.1334671203666569,0.5210084033613446,0.1092436974789916,0.46218487394957986,1.061847509903541,0.9937571768816269,0.24562443489323482,1.0,0.5776801371976998,1.0
option1,pb30_confirm_quality,train,QQQ,pb30,confirm_market,,,60,-0.0606434109642145,-3.63860465785287,0.8832100664881786,0.45,0.11666666666666667,0.5166666666666667,0.9764717086149588,1.1221625645949513,0.2701999777098482,1.0,0.5822502474430405,1.0
option1,pb30_confirm_quality,train,GLD,pb30,confirm_market,,,59,0.1864406779661017,11.0,1.4583333333333333,0.5932203389830508,0.1016949152542373,0.4067796610169492,1.1486703586715903,0.8631754266646868,0.22063235745261103,1.0,0.5730325674566754,1.0
