split,symbol,code,count,entry_requests,entry_fills,order_terminals,fill_per_request,terminal_per_request
train,GLD,ADDON_FILLED,8,106,106,0,1.0,0.0
train,GLD,ENTRY_FILLED,106,106,106,0,1.0,0.0
train,GLD,ENTRY_REQUESTED,106,106,106,0,1.0,0.0
train,GLD,EXIT_FILLED,2,106,106,0,1.0,0.0
train,GLD,MANAGING_POSITION,910,106,106,0,1.0,0.0
train,GLD,NO_SIGNAL,72277,106,106,0,1.0,0.0
train,GLD,PARTIAL_EXIT_FILLED,76,106,106,0,1.0,0.0
train,GLD,STOP_FILLED,104,106,106,0,1.0,0.0
train,QQQ,ADDON_FILLED,7,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,ENTRY_FILLED,20,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,ENTRY_PENDING,61,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,ENTRY_REQUESTED,22,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,EXIT_FILLED,1,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,MANAGING_POSITION,516,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,NO_SIGNAL,73357,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,ORDER_TERMINAL,2,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,PARTIAL_EXIT_FILLED,21,22,20,2,0.9090909090909091,0.09090909090909091
train,QQQ,STOP_FILLED,19,22,20,2,0.9090909090909091,0.09090909090909091
oos,GLD,ENTRY_FILLED,8,8,8,0,1.0,0.0
oos,GLD,ENTRY_REQUESTED,8,8,8,0,1.0,0.0
oos,GLD,MANAGING_POSITION,33,8,8,0,1.0,0.0
oos,GLD,NO_SIGNAL,7322,8,8,0,1.0,0.0
oos,GLD,PARTIAL_EXIT_FILLED,9,8,8,0,1.0,0.0
oos,GLD,STOP_FILLED,8,8,8,0,1.0,0.0
oos,QQQ,ENTRY_FILLED,2,7,2,5,0.2857142857142857,0.7142857142857143
oos,QQQ,ENTRY_PENDING,75,7,2,5,0.2857142857142857,0.7142857142857143
oos,QQQ,ENTRY_REQUESTED,7,7,2,5,0.2857142857142857,0.7142857142857143
oos,QQQ,MANAGING_POSITION,12,7,2,5,0.2857142857142857,0.7142857142857143
oos,QQQ,NO_SIGNAL,7811,7,2,5,0.2857142857142857,0.7142857142857143
oos,QQQ,ORDER_TERMINAL,5,7,2,5,0.2857142857142857,0.7142857142857143
oos,QQQ,STOP_FILLED,2,7,2,5,0.2857142857142857,0.7142857142857143
