split,symbol,direction,entry_time_utc,exit_time_utc,entry_date_et,entry_hour_et,entry_weekday_et,month,entry_type,entry_model,grade,score,exit_reason,qty,addon_qty,entry_price,exit_price,initial_stop,bars_held_15m,pnl_dollars,r_multiple,mfe_r,mae_r,excellent,never_worked,low_mfe_loss,right_then_lost,capture_ratio
train,GLD,LONG,2022-11-04T12:30:00+00:00,2022-11-04T16:00:00+00:00,2022-11-04,8,4,2022-11,classic_38_62,confirmation_close,valid,11.0,STOP,35356,0,153.52,155.39000000000001,153.48239515921532,14,39501.85999999972,29.71054825355599,65.15118662587494,0.0,True,False,False,False,0.45602466804121694
train,GLD,LONG,2025-04-10T14:00:00+00:00,2025-04-11T12:00:00+00:00,2025-04-10,10,3,2025-04,classic_38_62,confirmation_close,a_plus,13.0,STOP,26908,0,287.35,295.86,286.7733686874466,88,124583.13999999932,8.029335993211307,19.249735070485197,0.0,True,False,False,False,0.417114103846673
train,GLD,LONG,2024-01-29T19:30:00+00:00,2024-01-30T15:00:00+00:00,2024-01-29,14,0,2024-01,classic_38_62,confirmation_close,valid,12.0,STOP,29414,0,187.76,189.61,187.58642389470188,78,27164.3900000006,5.3205426574377706,11.925604601191361,0.05761161643082314,True,False,False,False,0.4461444794929937
train,GLD,SHORT,2024-04-22T18:00:00+00:00,2024-04-23T12:30:00+00:00,2024-04-22,14,0,2024-04,classic_38_62,confirmation_close,valid,12.0,STOP,26583,0,215.66,214.11,216.05286022395424,74,51076.04999999983,4.89074762024826,9.01083842077199,0.8654477579272638,True,False,False,False,0.5427627698854302
train,GLD,LONG,2023-03-01T13:45:00+00:00,2023-03-01T15:00:00+00:00,2023-03-01,8,2,2023-03,classic_38_62,confirmation_close,valid,11.0,STOP,32884,0,170.59,171.21,170.49957935750376,5,11883.279999999839,3.9965394303965494,9.9534793732241,1.3271305830965885,False,False,False,False,0.40152184784223877
train,GLD,LONG,2024-06-20T12:30:00+00:00,2024-06-20T15:15:00+00:00,2024-06-20,8,3,2024-06,classic_38_62,confirmation_close,valid,12.0,STOP,29964,0,216.29,217.65,216.05207768929586,11,26285.940000000275,3.687130888418067,10.33950953451819,0.756549478135384,True,False,False,False,0.35660597595163235
train,GLD,SHORT,2021-11-22T13:30:00+00:00,2021-11-22T15:00:00+00:00,2021-11-22,8,0,2021-11,classic_38_62,confirmation_close,valid,11.0,STOP,4563,0,171.76,170.05,172.11179868316452,6,5807.629999999935,3.6178808654292647,6.992635611570694,0.9664618324935282,True,False,False,False,0.5173844407740578
train,GLD,SHORT,2022-06-09T13:00:00+00:00,2022-06-09T13:30:00+00:00,2022-06-09,9,3,2022-06,classic_38_62,confirmation_close,valid,12.0,STOP,5548,0,172.59,172.6,172.6314952882247,2,721.2400000000032,3.1328858181694414,12.049560839113184,0.0,True,False,False,False,0.2600000000000011
train,GLD,SHORT,2024-05-23T12:30:00+00:00,2024-05-24T08:30:00+00:00,2024-05-23,8,3,2024-05,classic_38_62,confirmation_close,valid,12.0,STOP,28181,0,218.92000000000002,216.27,219.3879783194961,80,39253.49000000012,2.9764332136284257,7.6499270390449485,0.7051608723141627,True,False,False,False,0.3890799478788254
train,GLD,SHORT,2021-11-03T13:00:00+00:00,2021-11-03T15:30:00+00:00,2021-11-03,9,2,2021-11,classic_38_62,confirmation_close,valid,12.0,STOP,4583,0,165.98,164.93,166.1924903852297,10,2880.6999999999057,2.9580730279277936,7.529752455718943,0.0,True,False,False,False,0.3928512982762268
