split,symbol,direction,entry_time_utc,exit_time_utc,entry_date_et,entry_hour_et,entry_weekday_et,month,entry_type,entry_model,grade,score,exit_reason,qty,addon_qty,entry_price,exit_price,initial_stop,bars_held_15m,pnl_dollars,r_multiple,mfe_r,mae_r,excellent,never_worked,low_mfe_loss,right_then_lost,capture_ratio
train,QQQ,LONG,2021-08-23T15:00:00+00:00,2021-08-24T12:00:00+00:00,2021-08-23,11,0,2021-08,classic_38_62,structure_stop,a_plus,15.0,STOP,1911,0,372.39,373.76,371.8062452590822,84,1884.9800000000223,1.6897234796715175,4.436794801748232,0.29121819162046664,True,False,False,False,0.3808432788024623
train,QQQ,LONG,2021-10-07T14:00:00+00:00,2021-10-07T19:45:00+00:00,2021-10-07,10,3,2021-10,classic_38_62,structure_stop,valid,14.0,STOP,1305,0,364.65000000000003,362.81,362.8351494666402,23,-2414.250000000042,-1.0193676922667094,0.573049945922877,1.1901806569167999,False,False,True,False,0.0
train,QQQ,LONG,2021-10-14T14:00:00+00:00,2021-10-15T12:00:00+00:00,2021-10-14,10,3,2021-10,classic_38_62,structure_stop,valid,14.0,STOP,1993,0,364.64,367.11,363.4743594634078,88,3050.6900000000223,1.3131856782196287,3.3029050373073328,0.0,True,False,False,False,0.3975850541831481
train,QQQ,LONG,2021-12-07T16:30:00+00:00,2021-12-07T20:45:00+00:00,2021-12-07,11,1,2021-12,classic_38_62,structure_stop,valid,14.0,STOP,1768,0,397.52,396.0,396.0226402003825,17,-2705.039999999968,-1.021798501863647,0.627771628595972,1.028476923444443,False,False,True,False,0.0
train,QQQ,SHORT,2021-12-14T15:00:00+00:00,2021-12-14T19:15:00+00:00,2021-12-14,10,1,2021-12,classic_38_62,structure_stop,a_plus,13.0,STOP,1004,0,387.92,386.3,390.4555139210043,17,2164.780000000025,0.8503819918417401,1.691964680004917,0.3273498098843934,True,False,False,False,0.5026003213254243
train,QQQ,LONG,2021-12-22T16:00:00+00:00,2021-12-22T19:15:00+00:00,2021-12-22,11,2,2021-12,classic_38_62,structure_stop,valid,14.0,STOP,1771,0,392.26,390.74,390.7611797114575,13,-2709.629999999968,-1.0208028352003415,0.653847567644683,1.00078709333368,False,False,True,False,0.0
train,QQQ,LONG,2022-01-31T16:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31,11,0,2022-01,classic_38_62,structure_stop,valid,14.0,STOP,1080,0,358.94,359.75,356.549149051495,16,1990.4400000000091,0.7708552476483134,1.0582006383886309,0.6106612379633839,True,False,False,False,0.7284584980237102
train,QQQ,LONG,2022-01-31T20:30:00+00:00,2022-02-01T09:45:00+00:00,2022-01-31,15,0,2022-01,classic_38_62,structure_stop,valid,11.0,STOP,573,0,361.38,362.38,358.45786697638823,53,1240.9500000000025,0.74113902029207,1.143000668693646,0.02395510383489421,True,False,False,False,0.6484152114618881
train,QQQ,SHORT,2022-02-11T15:15:00+00:00,2022-02-14T12:45:00+00:00,2022-02-11,10,4,2022-02,classic_38_62,structure_stop,a_plus,15.0,STOP,794,0,356.2,347.21,359.48410162147474,278,3709.58499999999,1.4226177959990567,4.262961873181382,0.6577141175765636,True,False,False,False,0.33371581504138087
train,QQQ,LONG,2022-03-16T14:00:00+00:00,2022-03-16T16:30:00+00:00,2022-03-16,10,2,2022-03,classic_38_62,structure_stop,valid,14.0,STOP,1787,0,335.3,335.90000000000003,333.69854911170086,10,2555.5300000000266,0.8929822088828778,1.7858805542501024,0.0,True,False,False,False,0.5000234795981886
train,QQQ,LONG,2022-03-16T18:45:00+00:00,2022-03-17T08:30:00+00:00,2022-03-16,14,2,2022-03,classic_38_62,structure_stop,valid,11.0,STOP,1018,0,335.51,339.96,333.6737098894365,55,2971.500000000012,1.589595634067275,3.5397456875729825,0.7297321878996473,True,False,False,False,0.44907057578963455
train,QQQ,LONG,2022-05-26T16:30:00+00:00,2022-05-26T19:15:00+00:00,2022-05-26,12,3,2022-05,classic_38_62,structure_stop,valid,13.0,STOP,1789,0,300.03000000000003,298.27,298.29374947547075,11,-3166.5300000000857,-1.019438136947383,0.5125988372221086,1.013678599450505,False,False,True,False,0.0
