name,kind,delta_net,oos_net_return_pct,oos_total_trades,oos_avg_r,oos_win_rate,oos_dollar_profit_factor,oos_max_dd_pct
BASE_R5,base,,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::GLD.confirmation_combo_mode,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::GLD.confirmation_required,ablation,0.41247999999990625,-24.56235999999996,28.0,-0.6066676756098325,0.17857142857142858,0.3196108858446691,28.764183185979064
remove::GLD.daily_room_min_r,ablation,3.0803199999995137,-21.89452000000035,29.0,-0.4114403452226091,0.2413793103448276,0.37161310838914147,26.911101006707995
remove::GLD.entry_order_model,ablation,6.202599999999993,-18.772239999999872,17.0,-0.6550519282258237,0.17647058823529413,0.22618664360481014,21.643548008505658
remove::GLD.score_a_min,ablation,-1.3440099999996633,-26.31884999999953,31.0,-0.5303251902849064,0.1935483870967742,0.3091184338773575,29.6343999999996
remove::GLD.score_b_min,ablation,0.15758000000013084,-24.817259999999735,31.0,-0.5076458053932725,0.1935483870967742,0.31503201516259394,28.201319999999775
remove::GLD.t1_r,ablation,-1.1166999999999376,-26.091539999999803,27.0,-0.605774446291003,0.14814814814814814,0.2656575424818359,28.607079999999783
remove::QQQ.confirmation_required,ablation,-0.7228399999999802,-25.697679999999846,28.0,-0.5495480702606558,0.17857142857142858,0.29025442395080103,29.042449999999864
remove::QQQ.fib_b_high,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::QQQ.fib_b_low,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::QQQ.min_short_score,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::QQQ.primary_windows_et,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::QQQ.score_b_min,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::QQQ.shorts_enabled,ablation,-3.6651100000003822,-28.639950000000248,30.0,-0.5783319362501117,0.16666666666666666,0.2637185363809544,31.85076000000021
remove::QQQ.t1_r,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::QQQ.type_b_requires_a_plus,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_enabled,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_max_notional_pct,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_max_total_risk_pct,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_min_score,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_require_structure_hold,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_require_vwap_hold,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_requires_t1,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_size_mult,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.addon_trigger_r,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.confirmation_combo_mode,ablation,-2.254299999999958,-27.229139999999823,30.0,-0.5812690741542006,0.16666666666666666,0.275286461188941,30.5041299999998
remove::all.confirmation_required,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.entry_order_model,ablation,-12.901310000000144,-37.87615000000001,38.0,-0.7317201969304236,0.13157894736842105,0.2011351024604087,40.672860000000014
remove::all.entry_order_ttl_hours,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.entry_stop_limit_atr_mult,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.fib_a_high,ablation,8.948679999999818,-16.026160000000047,12.0,-0.8404117536657072,0.08333333333333333,0.12036489178938457,17.154736175502013
remove::all.fib_a_low,ablation,-0.7228399999999802,-25.697679999999846,28.0,-0.5495480702606558,0.17857142857142858,0.29025442395080103,29.042449999999864
remove::all.initial_stop_source,ablation,18.290679999999863,-6.684160000000003,8.0,-0.4978144848837068,0.125,0.027191132573327396,8.160075416749109
remove::all.max_hold_bars_15m,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.max_position_notional_pct,ablation,23.94274999999946,-1.0320900000004039,28.0,-0.558791339677322,0.17857142857142858,0.25347192084020476,1.1795762450843839
remove::all.max_risk_pct,ablation,10.292459999999949,-14.682379999999917,28.0,-0.5493700944608412,0.17857142857142858,0.3510185986130496,18.206219999999973
remove::all.min_stop_atr_mult,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.risk_a_pct,ablation,3.249719999999506,-21.72512000000036,28.0,-0.5493306648041599,0.17857142857142858,0.1800303679595761,23.144730000000404
remove::all.risk_a_plus_pct,ablation,9.638279999999853,-15.336560000000013,28.0,-0.5493434866124002,0.17857142857142858,0.42790594962055833,20.516149999999733
remove::all.risk_b_pct,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.second_entry_max_wait_bars_15m,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.second_entry_min_wait_bars_15m,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.second_entry_require_structure,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.second_entry_require_vwap,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.second_entry_score_min,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.signal_stop_buffer_atr_mult,ablation,-0.42054999999988496,-25.39538999999975,34.0,-0.5779039154209227,0.20588235294117646,0.32133671764513866,29.070979999999807
remove::all.stall_exit_bars_15m,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.stall_exit_max_current_r,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.stall_exit_min_mfe_r,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.t1_stop_r,ablation,-0.2948300000000188,-25.269669999999884,28.0,-0.5583409771661234,0.17857142857142858,0.2887889496567462,28.3479099999998
remove::all.t2_r,ablation,0.17479000000009393,-24.80004999999977,28.0,-0.5436661536754166,0.17857142857142858,0.30215089043115817,28.299139999999813
remove::all.time_stop_min_mfe_r,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.trail_after_t1_30m_bars,ablation,-1.7977299999997918,-26.772569999999657,28.0,-0.6092862055772512,0.17857142857142858,0.23929525211802025,30.067459999999745
remove::all.trail_use_vwap_after_t1,ablation,-0.8153900000002032,-25.79023000000007,28.0,-0.5762867781643539,0.17857142857142858,0.2698856711740469,29.130760000000212
remove::all.type_a_value_hits_min,ablation,1.0891500000000818,-23.885689999999784,27.0,-0.558062499123036,0.18518518518518517,0.30115664961618277,28.077344999999738
remove::all.type_b_enabled,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
remove::all.type_c_enabled,ablation,-0.7808799999999039,-25.75571999999977,28.0,-0.5493677000386091,0.17857142857142858,0.2892785751420306,29.096799999999785
remove::all.type_c_mode,ablation,-0.7808799999999039,-25.75571999999977,28.0,-0.5493677000386091,0.17857142857142858,0.2892785751420306,29.096799999999785
remove::all.type_c_requires_a_plus,ablation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
probe_q_q_q_longs_off,perturbation,9.53680999999959,-15.438030000000275,22.0,-0.41678869878006336,0.22727272727272727,0.42308938434960164,22.309240000000223
probe_gld_longs_off,perturbation,16.67512000000027,-8.299719999999594,15.0,-0.2738413834522967,0.26666666666666666,0.5445584976727839,12.4279599999997
