name,classification,holdout_net,holdout_net_delta,holdout_trades,holdout_trades_delta,holdout_avg_r_delta,holdout_pf_delta,holdout_qqq_trades_delta,holdout_qqq_excellent_delta,train_net_delta,train_trades_delta,train_avg_r_delta,train_pf_delta,train_dd_delta,train_qqq_excellent_delta
qqq_fib_a_high090,train_beneficial_oos_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.57765500000022,12.0,-0.03519481274326974,-0.016911504266038158,0.5981299738218784,6.0
qqq_fib_a_wide025_090,train_beneficial_oos_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.57765500000022,12.0,-0.03519481274326974,-0.016911504266038158,0.5981299738218784,6.0
gld_trail_after_t1_6,train_beneficial_oos_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.162545000000307,1.0,0.0040048144138077335,0.008984873974872798,0.00041785367028346343,0.0
qqq_daily_room_120,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_daily_room_100,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_fib_a_low025,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_typeb_wide015_045,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_typeb_score8,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_typec_shallow_or_reentry,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_entry_stop_market,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_stop_limit_012,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
