category,name,thesis,score,rejected,reject_reason,smoke_promotable,objective,net_return_pct,delta_net_return_pct,avg_r,delta_avg_r,total_r,delta_total_r,total_trades,delta_total_trades,trades_per_month,delta_trades_per_month,dollar_profit_factor,delta_dollar_profit_factor,profit_factor,delta_profit_factor,max_dd_pct,delta_max_dd_pct,mfe_capture,delta_mfe_capture,avg_mfe_r,delta_avg_mfe_r,avg_mae_r,delta_avg_mae_r,never_worked_rate,delta_never_worked_rate,low_mfe_loss_rate,delta_low_mfe_loss_rate,right_then_lost_rate,delta_right_then_lost_rate,excellent_trades,delta_excellent_trades,excellent_rate,delta_excellent_rate,two_r_plus_rate,delta_two_r_plus_rate,top5_winner_share,delta_top5_winner_share,dollar_top5_winner_share,delta_dollar_top5_winner_share,gld_trade_count,delta_gld_trade_count,qqq_trade_count,delta_qqq_trade_count,gld_excellent_rate,delta_gld_excellent_rate,qqq_excellent_rate,delta_qqq_excellent_rate,additive_trade_count,delta_additive_trade_count,additive_avg_r,delta_additive_avg_r,additive_total_r,delta_additive_total_r,pb30_plain_trade_count,delta_pb30_plain_trade_count,pb30_plain_avg_r,delta_pb30_plain_avg_r,delta_score,delta_objective
baseline,round8_optimized_config,Latest optimized round-8 train-only baseline.,65.19370302536512,False,,False,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,,
ablation,disable_pb30_additive,Measure whether the round-8 30m additive lane is genuinely additive.,64.78562411230384,False,,True,152.71624345683637,132.72208499999834,-0.2878499999977464,0.6814279217992009,0.0005292716444155188,83.8156343813017,-2.6584941883560305,123.0,-4.0,2.2251899180891175,-0.07236389977525581,2.1238396931200114,0.04157399346555524,2.347287973349245,0.0035724622217645496,13.680092384418167,-0.0002840422126126896,0.3359113562677819,-0.00203811672496812,2.949066833051359,-0.012065094347756045,0.9166938407307118,-0.015326521869159837,0.23577235772357724,-0.00044811471736763697,0.3252032520325203,-0.00550540938480254,0.07317073170731707,0.002304589975033605,70.0,-1.0,0.5691056910569106,0.01005057294667433,0.37398373983739835,-0.003969016068113451,0.35575127412138774,0.011358551024807484,0.2503132586706173,0.010126392577686327,91.0,-3.0,32.0,-1.0,0.4945054945054945,0.005143792377834966,0.78125,0.02367424242424243,0.0,-6.0,0.0,-0.7014278600380983,0.0,-4.20856716022859,0.0,-6.0,0.0,-0.7014278600380983,-0.4080789130612885,-1.0830757403643076
ablation,disable_type_c_reentry,Check whether real re-entry supply is carrying robust expectancy.,65.19370302536512,False,,True,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,0.0,0.0
ablation,disable_qqq_type_b,Test QQQ shallow Type-B contribution.,65.19370302536512,False,,True,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,0.0,0.0
ablation,disable_qqq_shorts,Check whether QQQ short expansion is adding or diluting edge.,61.03428119253825,False,,False,140.27982493308107,120.25077999999867,-12.75915499999742,0.6736206984663079,-0.0072779516884774464,84.20258730828849,-2.2715412613692507,125.0,-2.0,2.261371867976745,-0.03618194988762813,2.0223783350041025,-0.059887364650353714,2.3084150882302814,-0.035300422897198924,13.680552768907459,0.00017634227667961966,0.3360109238196019,-0.0019385491731481186,2.9608706258120114,-0.0002613015871038016,0.9390521769817819,0.007031814381910251,0.24,0.0037795275590551125,0.336,0.005291338582677163,0.072,0.001133858267716531,69.0,-2.0,0.552,-0.00705511811023618,0.376,-0.0019527559055118049,0.3496706327719457,0.005277909675365455,0.24426070687093263,0.004073840778001631,94.0,0.0,31.0,-2.0,0.48936170212765956,0.0,0.7419354838709677,-0.01564027370478982,6.0,0.0,0.7014747205466563,4.686050855795543e-05,4.208848323279938,0.00028116305134773256,6.0,0.0,0.7014747205466563,4.686050855795543e-05,-4.159421832826872,-13.5194942641196
ablation,disable_asset_context,Check whether context scoring adds discrimination.,63.27091318423746,False,,False,149.18660810076395,128.76681499999683,-4.243119999999266,0.6628895586081026,-0.01800909154668273,84.84986350183713,-1.6242650678206019,128.0,1.0,2.3156447928081874,0.018090974943814064,2.035264129530099,-0.04700157012435735,2.289581126477244,-0.054134384650236456,13.680231995848022,-0.00014443078275760968,0.3386898924248584,0.0007404194321083968,2.92717178363592,-0.033960143763195116,0.9376913072925671,0.005670944692695468,0.2421875,0.005967027559055121,0.3359375,0.005228838582677142,0.0703125,-0.0005536417322834636,71.0,0.0,0.5546875,-0.004367618110236227,0.375,-0.0029527559055118058,0.344822358179603,0.0004296350830227391,0.23789356286437877,-0.0022933032285522292,94.0,0.0,34.0,1.0,0.48936170212765956,0.0,0.7352941176470589,-0.022281639928698693,6.0,0.0,0.701365567873338,-6.229216476028032e-05,4.208193407240028,-0.000373752988561904,6.0,0.0,0.701365567873338,-6.229216476028032e-05,-1.922789841127667,-4.612711096436726
ablation,disable_mfe_giveback,Measure exit-giveback contribution.,66.45318931177115,False,,True,158.52972431849517,137.2995499999971,4.289615000001021,0.6978848381374647,0.016986187982679368,88.63137444345801,2.157245873800278,127.0,0.0,2.2975538178643733,0.0,2.104561976588333,0.022296276933877035,2.3772337603514866,0.03351824922400626,13.680119032443919,-0.0002573941868604379,0.33354510137768684,-0.004404371615063185,3.0731526182571915,0.11202069085807631,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.3395587863797101,-0.0048339367168701575,0.2385242670912709,-0.0016625990016601033,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7013660853336164,-6.177470448187616e-05,4.208196512001699,-0.00037064822689103494,6.0,0.0,0.7013660853336164,-6.177470448187616e-05,1.2594862864060303,4.7304051212944955
ablation,disable_structure_trail,Measure post-T1 trail contribution.,0.0,True,max_dd_pct,False,250.2490040865157,208.8577749999979,75.84784000000181,2.088925118345099,1.4080264681903139,225.6039127812707,139.12978421161296,108.0,-19.0,1.953825293931908,-0.3437285239324652,2.862009545686552,0.7797438460320958,5.6846707515322015,3.340955240404721,22.67561949891134,8.995243072280562,0.2970001137543033,-0.040949359238446725,13.875167711030649,10.914035783631533,0.9854451701649671,0.05342480756509549,0.19444444444444445,-0.04177602799650043,0.2962962962962963,-0.03441236512102658,0.05555555555555555,-0.015310586176727911,61.0,-10.0,0.5648148148148148,0.005759696704578543,0.4351851851851852,0.05723242927967337,0.7053970746637362,0.361004351567156,0.37511642953587093,0.13492956344293994,75.0,-19.0,33.0,0.0,0.48,-0.009361702127659577,0.7575757575757576,0.0,6.0,0.0,0.5099302839738965,-0.1914975760642018,3.059581703843379,-1.148985456385211,6.0,0.0,0.5099302839738965,-0.1914975760642018,-65.19370302536512,96.44968488931502
ablation,disable_stall_exit,Check whether stall exits improve realised R.,65.19370302536512,False,,True,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,0.0,0.0
ablation,disable_time_stop,Check whether the low-MFE time stop is protective or premature.,65.19370302536512,False,,True,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,0.0,0.0
