category,name,thesis,score,rejected,reject_reason,smoke_promotable,objective,net_return_pct,delta_net_return_pct,avg_r,delta_avg_r,total_r,delta_total_r,total_trades,delta_total_trades,trades_per_month,delta_trades_per_month,dollar_profit_factor,delta_dollar_profit_factor,profit_factor,delta_profit_factor,max_dd_pct,delta_max_dd_pct,mfe_capture,delta_mfe_capture,avg_mfe_r,delta_avg_mfe_r,avg_mae_r,delta_avg_mae_r,never_worked_rate,delta_never_worked_rate,low_mfe_loss_rate,delta_low_mfe_loss_rate,right_then_lost_rate,delta_right_then_lost_rate,excellent_trades,delta_excellent_trades,excellent_rate,delta_excellent_rate,two_r_plus_rate,delta_two_r_plus_rate,top5_winner_share,delta_top5_winner_share,dollar_top5_winner_share,delta_dollar_top5_winner_share,gld_trade_count,delta_gld_trade_count,qqq_trade_count,delta_qqq_trade_count,gld_excellent_rate,delta_gld_excellent_rate,qqq_excellent_rate,delta_qqq_excellent_rate,additive_trade_count,delta_additive_trade_count,additive_avg_r,delta_additive_avg_r,additive_total_r,delta_additive_total_r,pb30_plain_trade_count,delta_pb30_plain_trade_count,pb30_plain_avg_r,delta_pb30_plain_avg_r,delta_score,delta_objective
baseline,round8_optimized_config,Latest optimized round-8 train-only baseline.,65.19370302536512,False,,False,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,,
followup,pb30_5_18_plus_qqq_t1_100,Combine the best signal-duration and QQQ target leads.,69.4837230606291,False,,True,177.0275355487067,155.87698999999918,22.86705500000309,0.7158916712173422,0.03499302106255686,90.20235057338512,3.7282220037273817,126.0,-1.0,2.2794628429205592,-0.018090974943814064,2.256330150724625,0.17406445107016877,2.4069026329454823,0.06318712181800201,13.846465000000082,0.1660885733693025,0.3196452862961247,-0.018304186696625313,3.018114867677494,0.0569829402783788,0.900665173585915,-0.03135518901395662,0.23015873015873015,-0.006061742282214733,0.3253968253968254,-0.005311836020497451,0.07936507936507936,0.008498937632795897,71.0,0.0,0.5634920634920635,0.004436945381827262,0.3888888888888889,0.01093613298337709,0.3372023484774152,-0.007190374619165052,0.23521439129936833,-0.0049724747935626645,95.0,1.0,31.0,-2.0,0.49473684210526314,0.005375139977603582,0.7741935483870968,0.016617790811339184,9.0,3.0,0.8045685122692922,0.10314065223119384,7.24111661042363,3.03254945019504,9.0,3.0,0.8045685122692922,0.10314065223119384,4.290020035263979,23.228216351506035
followup,pb30_5_18_plus_no_mfe_giveback,Combine PB30 duration with removal of MFE giveback.,69.87637109573997,False,,True,171.293386303224,149.88557999999753,16.87564500000144,0.714974380405314,0.03407573025052868,90.80174631147489,4.32761774181715,127.0,0.0,2.2975538178643733,0.0,2.2187007497722506,0.13643505011779444,2.4162576652125183,0.07254215408503795,13.846465000000082,0.1660885733693025,0.3213308792944592,-0.01661859369829083,3.0903624759727526,0.12923054857363736,0.8889068790775714,-0.04311348352230027,0.2283464566929134,-0.007874015748031482,0.3228346456692913,-0.007874015748031538,0.07874015748031496,0.007874015748031496,72.0,1.0,0.5669291338582677,0.007874015748031482,0.3700787401574803,-0.007874015748031482,0.33591358160596607,-0.008479141490614184,0.23809698842603244,-0.002089877666898554,95.0,1.0,32.0,-1.0,0.49473684210526314,0.005375139977603582,0.78125,0.02367424242424243,9.0,3.0,0.7985295231503486,0.09710166311225032,7.186765708353138,2.9781985481245483,9.0,3.0,0.7985295231503486,0.09710166311225032,4.682668070374845,17.494067106023323
followup,pb30_5_18_plus_trail6,Combine PB30 duration with slightly tighter post-T1 trail.,69.19179479717695,False,,True,172.02498125354776,150.5958849999963,17.585950000000196,0.7061585465969343,0.025259896442148988,90.3882939644076,3.9141653947498583,128.0,1.0,2.3156447928081874,0.018090974943814064,2.2064737094504165,0.12420800979596036,2.387144302001681,0.04342879087420082,13.846465000000082,0.1660885733693025,0.3388454293923958,0.000895956399645792,2.9430177710728795,-0.018114156326235697,0.8854919893739093,-0.04652837322596237,0.234375,-0.0018454724409448786,0.328125,-0.002583661417322858,0.078125,0.007258858267716536,73.0,2.0,0.5703125,0.011257381889763773,0.359375,-0.018577755905511806,0.3381148022060182,-0.006277920890562061,0.24314547723847643,0.0029586111455454367,96.0,2.0,32.0,-1.0,0.5,0.010638297872340441,0.78125,0.02367424242424243,10.0,4.0,0.6584522396016212,-0.04297562043647707,6.5845223960162125,2.3759552357876226,10.0,4.0,0.6584522396016212,-0.04297562043647707,3.998091771811829,18.22566205634709
followup,pb30_5_18_plus_qqq_ext175,Combine PB30 duration with QQQ extension rejection.,68.58474012613681,False,,True,166.34816661811385,145.38091499999683,12.370980000000742,0.6979994859146234,0.017100835759838007,88.64593471115717,2.171806141499431,127.0,0.0,2.2975538178643733,0.0,2.1955444170573215,0.11327871740286533,2.3826329682586214,0.03891745713114103,13.846465000000082,0.1660885733693025,0.32567367437319455,-0.012275798619555467,2.9783417851146767,0.017209857715561494,0.8889068790775714,-0.04311348352230027,0.2283464566929134,-0.007874015748031482,0.3228346456692913,-0.007874015748031538,0.07874015748031496,0.007874015748031496,72.0,1.0,0.5669291338582677,0.007874015748031482,0.3700787401574803,-0.007874015748031482,0.3406444388877172,-0.0037482842088630286,0.23972165138414972,-0.00046521470878127524,95.0,1.0,32.0,-1.0,0.49473684210526314,0.005375139977603582,0.78125,0.02367424242424243,9.0,3.0,0.7985647420004057,0.09713688196230741,7.187082678003652,2.9785155177750617,9.0,3.0,0.7985647420004057,0.09713688196230741,3.3910371007716833,12.548847420913177
followup,qqq_t1_100_plus_no_mfe_giveback,Combine QQQ target lead with no MFE giveback.,67.64341033914522,False,,True,168.52321264460016,147.12898999999666,14.119055000000571,0.7153697428768878,0.03447109272210247,90.13658760248786,3.662459032830128,126.0,-1.0,2.2794628429205592,-0.018090974943814064,2.160790235882723,0.07852453622826694,2.400629238515159,0.05691372738767875,13.68096425557316,0.0005878289423808525,0.326768031525841,-0.011181441466909026,3.1136781677497107,0.1525462403505955,0.9441208276123603,0.012100465012488626,0.23809523809523808,0.0018747656542932034,0.3333333333333333,0.002624671916010457,0.07142857142857142,0.000562429696287961,70.0,-1.0,0.5555555555555556,-0.0034995625546806464,0.3968253968253968,0.018872640919884998,0.33625233343447103,-0.008140389662109226,0.2341958269153288,-0.0059910391776021865,94.0,0.0,32.0,-1.0,0.48936170212765956,0.0,0.75,-0.007575757575757569,6.0,0.0,0.7014216380896913,-6.221948407048039e-06,4.208529828538148,-3.733169044206619e-05,6.0,0.0,0.7014216380896913,-6.221948407048039e-06,2.4497073137800953,14.72389344739949
followup,qqq_t1_100_plus_trail6,Combine QQQ target lead with tighter post-T1 trail.,67.16644481479588,False,,True,169.72030614269968,148.20461499999962,15.19468000000353,0.7066929319927059,0.02579428183792054,89.75000236307365,3.2758737934159115,127.0,0.0,2.2975538178643733,0.0,2.152058112603541,0.06979241294908478,2.372289970390158,0.028574459262677543,13.630124917638616,-0.05025150899216335,0.34612408838160336,0.008174615388853335,2.9649896801988396,0.0038577527997243344,0.9402442935131198,0.008223930913248134,0.2440944881889764,0.00787401574803151,0.33858267716535434,0.007874015748031482,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3858267716535433,0.007874015748031482,0.33837670723181856,-0.006016015864761692,0.2388868200638568,-0.0013000460290741866,95.0,1.0,32.0,-1.0,0.49473684210526314,0.005375139977603582,0.75,-0.007575757575757569,7.0,1.0,0.45158741633457644,-0.24984044370352188,3.161111914342035,-1.047455245886555,7.0,1.0,0.45158741633457644,-0.24984044370352188,1.9727417894307564,15.92098694549901
followup,top3_pb30_qqq_no_mfe,Stack the three cleanest first-pass leads.,70.50037647845356,False,,True,182.1822766482676,160.59117499999803,27.58124000000194,0.733008217604139,0.05210956744935369,92.35903541812152,5.884906848463785,126.0,-1.0,2.2794628429205592,-0.018090974943814064,2.2796120777476143,0.19734637809315814,2.4405470265536504,0.09683151542617008,13.846465000000082,0.1660885733693025,0.3148068863875917,-0.023142586605158333,3.1310246116376184,0.16989268423850312,0.900665173585915,-0.03135518901395662,0.23015873015873015,-0.006061742282214733,0.3253968253968254,-0.005311836020497451,0.07936507936507936,0.008498937632795897,71.0,0.0,0.5634920634920635,0.004436945381827262,0.3888888888888889,0.01093613298337709,0.3325662736372076,-0.011826449459372668,0.23366794066078192,-0.006518925432149075,95.0,1.0,31.0,-2.0,0.49473684210526314,0.005375139977603582,0.7741935483870968,0.016617790811339184,9.0,3.0,0.8045718418559286,0.10314398181783024,7.241146576703357,3.032579416474767,9.0,3.0,0.8045718418559286,0.10314398181783024,5.306673453088436,28.382957451066915
followup,top3_pb30_qqq_trail6,"Stack PB30 duration, QQQ target, and tighter trail.",69.87230407903749,False,,True,183.44594669545515,161.80255999999633,28.792625000000243,0.7248478091126732,0.04394915895788787,92.0556717573095,5.581543187651761,127.0,0.0,2.2975538178643733,0.0,2.269646527524582,0.1873808278701259,2.412735778883165,0.06902026775568482,13.846465000000082,0.1660885733693025,0.33393796328082,-0.004011509711930039,2.982199537914401,0.02106761051528583,0.8971308099908196,-0.03488955260905202,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07874015748031496,0.007874015748031496,72.0,1.0,0.5669291338582677,0.007874015748031482,0.3779527559055118,0.0,0.3345347730262871,-0.009857950070293164,0.23897000023717235,-0.001216865855758642,96.0,2.0,31.0,-2.0,0.5,0.010638297872340441,0.7741935483870968,0.016617790811339184,10.0,4.0,0.6639117436695443,-0.03751611636855401,6.639117436695443,2.430550276466853,10.0,4.0,0.6639117436695443,-0.03751611636855401,4.678601053672367,29.646627498254475
followup,top4_pb30_qqq_no_mfe_ext,Stack clean leads while adding QQQ extension control.,70.50037647845356,False,,True,182.1822766482676,160.59117499999803,27.58124000000194,0.733008217604139,0.05210956744935369,92.35903541812152,5.884906848463785,126.0,-1.0,2.2794628429205592,-0.018090974943814064,2.2796120777476143,0.19734637809315814,2.4405470265536504,0.09683151542617008,13.846465000000082,0.1660885733693025,0.3148068863875917,-0.023142586605158333,3.1310246116376184,0.16989268423850312,0.900665173585915,-0.03135518901395662,0.23015873015873015,-0.006061742282214733,0.3253968253968254,-0.005311836020497451,0.07936507936507936,0.008498937632795897,71.0,0.0,0.5634920634920635,0.004436945381827262,0.3888888888888889,0.01093613298337709,0.3325662736372076,-0.011826449459372668,0.23366794066078192,-0.006518925432149075,95.0,1.0,31.0,-2.0,0.49473684210526314,0.005375139977603582,0.7741935483870968,0.016617790811339184,9.0,3.0,0.8045718418559286,0.10314398181783024,7.241146576703357,3.032579416474767,9.0,3.0,0.8045718418559286,0.10314398181783024,5.306673453088436,28.382957451066915
