category,name,thesis,score,rejected,reject_reason,smoke_promotable,objective,net_return_pct,delta_net_return_pct,avg_r,delta_avg_r,total_r,delta_total_r,total_trades,delta_total_trades,trades_per_month,delta_trades_per_month,dollar_profit_factor,delta_dollar_profit_factor,profit_factor,delta_profit_factor,max_dd_pct,delta_max_dd_pct,mfe_capture,delta_mfe_capture,avg_mfe_r,delta_avg_mfe_r,avg_mae_r,delta_avg_mae_r,never_worked_rate,delta_never_worked_rate,low_mfe_loss_rate,delta_low_mfe_loss_rate,right_then_lost_rate,delta_right_then_lost_rate,excellent_trades,delta_excellent_trades,excellent_rate,delta_excellent_rate,two_r_plus_rate,delta_two_r_plus_rate,top5_winner_share,delta_top5_winner_share,dollar_top5_winner_share,delta_dollar_top5_winner_share,gld_trade_count,delta_gld_trade_count,qqq_trade_count,delta_qqq_trade_count,gld_excellent_rate,delta_gld_excellent_rate,qqq_excellent_rate,delta_qqq_excellent_rate,additive_trade_count,delta_additive_trade_count,additive_avg_r,delta_additive_avg_r,additive_total_r,delta_additive_total_r,pb30_plain_trade_count,delta_pb30_plain_trade_count,pb30_plain_avg_r,delta_pb30_plain_avg_r,delta_score,delta_objective
baseline,round8_optimized_config,Latest optimized round-8 train-only baseline.,65.19370302536512,False,,False,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,,
signal,pb30_relax_orderly,See whether orderly filter is leaving usable 30m alpha on the table.,62.34396398289307,False,,False,143.560850904642,123.23015999999876,-9.77977499999733,0.6473728619827942,-0.033525788171991144,84.15847205776325,-2.3156565118944883,130.0,3.0,2.351826742695815,0.05427292483144175,1.999656208917223,-0.08260949073723323,2.2602042928258457,-0.08351121830163466,13.679790147937124,-0.000586278693655018,0.32413387706894153,-0.013815595923808488,2.907447749552229,-0.05368417784688617,0.9302716491090118,-0.00174871349085981,0.23846153846153847,0.002241066020593596,0.33076923076923076,6.0569351907902025e-05,0.07692307692307693,0.006056935190793464,72.0,1.0,0.5538461538461539,-0.00520896426408235,0.36153846153846153,-0.016414294367050275,0.3441646950126463,-0.00022802808393396212,0.2423952354274417,0.0022083693345107125,97.0,3.0,33.0,0.0,0.4845360824742268,-0.0048256196534327556,0.7575757575757576,0.0,13.0,7.0,0.6898050181681205,-0.011622841869977862,8.967465236185566,4.758898075956976,13.0,7.0,0.6898050181681205,-0.011622841869977862,-2.849739042472052,-10.238468292558679
signal,pb30_confirm2,Demand more 15m proof on 30m pullbacks.,65.19370302536512,False,,True,153.79931919720067,133.0099349999961,0.0,0.6808986501547853,0.0,86.47412856965774,0.0,127.0,0.0,2.2975538178643733,0.0,2.082265699654456,0.0,2.3437155111274803,0.0,13.68037642663078,0.0,0.33794947299275,0.0,2.9611319273991152,0.0,0.9320203625998716,0.0,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.34439272309658026,0.0,0.240186866092931,0.0,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,6.0,0.0,0.7014278600380983,0.0,4.20856716022859,0.0,6.0,0.0,0.7014278600380983,0.0,0.0,0.0
signal,pb30_confirm_any,Test broader 30m confirmation supply.,55.20096994074051,False,,False,136.83857807779032,118.43698500000015,-14.572949999995942,0.5895212646324721,-0.09137738552231323,78.40632819611879,-8.067800373538944,133.0,6.0,2.4060996675272572,0.10854584966288394,1.8832489189172488,-0.1990167807372074,2.100725966537788,-0.24298954458969213,14.068339889023237,0.3879634623924577,0.36996461359531013,0.03201514060256011,2.7367818865621203,-0.22435004083699495,0.9481079498225622,0.016087587222690547,0.2706766917293233,0.034456219288378415,0.38345864661654133,0.052749985199218474,0.05263157894736842,-0.018234562784915045,70.0,-1.0,0.5263157894736842,-0.032739328636552045,0.3609022556390977,-0.01705050026641408,0.35618040160852554,0.011787678511945288,0.2363315670109783,-0.003855299081952701,100.0,6.0,33.0,0.0,0.45,-0.03936170212765955,0.7575757575757576,0.0,27.0,21.0,0.5513225227789463,-0.15010533725915198,14.88570811503155,10.67714095480296,27.0,21.0,0.5513225227789463,-0.15010533725915198,-9.992733084624618,-16.960741119410358
signal,pb30_duration_5_18,Shift 30m pullback duration shorter.,68.58474012613681,False,,True,166.34816661811385,145.38091499999683,12.370980000000742,0.6979994859146234,0.017100835759838007,88.64593471115717,2.171806141499431,127.0,0.0,2.2975538178643733,0.0,2.1955444170573215,0.11327871740286533,2.3826329682586214,0.03891745713114103,13.846465000000082,0.1660885733693025,0.32567367437319455,-0.012275798619555467,2.9783417851146767,0.017209857715561494,0.8889068790775714,-0.04311348352230027,0.2283464566929134,-0.007874015748031482,0.3228346456692913,-0.007874015748031538,0.07874015748031496,0.007874015748031496,72.0,1.0,0.5669291338582677,0.007874015748031482,0.3700787401574803,-0.007874015748031482,0.3406444388877172,-0.0037482842088630286,0.23972165138414972,-0.00046521470878127524,95.0,1.0,32.0,-1.0,0.49473684210526314,0.005375139977603582,0.78125,0.02367424242424243,9.0,3.0,0.7985647420004057,0.09713688196230741,7.187082678003652,2.9785155177750617,9.0,3.0,0.7985647420004057,0.09713688196230741,3.3910371007716833,12.548847420913177
signal,pb30_duration_7_22,Shift 30m pullback duration longer.,61.55776061739889,False,,False,151.2896107101911,132.48891999999734,-0.521014999998755,0.6399550925632136,-0.040943557591571755,83.19416203321776,-3.2799665364399715,130.0,3.0,2.351826742695815,0.05427292483144175,2.0417407347299967,-0.04052496492445945,2.225944325736808,-0.11777118539067244,14.398118369821496,0.7177419431907168,0.319819382415859,-0.018130090576891023,2.8998286041677233,-0.06130332323139198,0.94034064694507,0.008320284345198381,0.24615384615384617,0.009933373712901289,0.3384615384615385,0.0077528770442156225,0.07692307692307693,0.006056935190793464,71.0,0.0,0.5461538461538461,-0.012901271956390126,0.38461538461538464,0.006662628709872831,0.34448928965939946,9.656656281920029e-05,0.2400674411801722,-0.00011942491275879208,98.0,4.0,32.0,-1.0,0.46938775510204084,-0.01997394702561872,0.78125,0.02367424242424243,11.0,5.0,0.17637462598503895,-0.5250532340530594,1.9401208858354284,-2.2684462743931615,11.0,5.0,0.17637462598503895,-0.5250532340530594,-3.6359424079662332,-2.5097084870095614
signal,pb30_value_hits2,Require stronger value interaction on 30m pullbacks.,0.0,True,min_additive_trades,False,149.73509001567794,129.98217499999808,-3.027759999998011,0.6682330081197024,-0.012665642035082914,82.8608930068431,-3.613235562814637,124.0,-3.0,2.2432808930329315,-0.05427292483144175,2.069847097061501,-0.012418602592955352,2.310151471566069,-0.033564039561411185,13.680092384418167,-0.0002840422126126896,0.33607340523009566,-0.0018760677626543654,2.9260363535778033,-0.0350955738213119,0.9151204817250763,-0.016899880874795326,0.24193548387096775,0.0057150114300228705,0.33064516129032256,-6.350012700029328e-05,0.07258064516129033,0.001714503429006864,70.0,-1.0,0.5645161290322581,0.005461010922021892,0.3709677419354839,-0.006985013970027931,0.3555497345328677,0.011157011436287445,0.24639964326133137,0.00621277716840038,91.0,-3.0,33.0,0.0,0.4945054945054945,0.005143792377834966,0.7575757575757576,0.0,2.0,-4.0,-0.06581671111315235,-0.7672445711512507,-0.1316334222263047,-4.340200582454894,2.0,-4.0,-0.06581671111315235,-0.7672445711512507,-65.19370302536512,-4.064229181522734
signal,pb30_fib_38_70,Constrain 30m depth to classic value.,0.0,True,min_additive_trades,False,146.1118678458331,126.10242499999593,-6.907510000000158,0.663211006857399,-0.01768764329738637,83.56458686403226,-2.9095417056254718,126.0,-1.0,2.2794628429205592,-0.018090974943814064,2.030039028008165,-0.052226671646291134,2.2985043435240753,-0.045211167603405045,13.68037642663078,0.0,0.33610856695977853,-0.00184090603297149,2.929134049247024,-0.0319978781520911,0.9366296033206032,0.0046092407207315444,0.23809523809523808,0.0018747656542932034,0.3333333333333333,0.002624671916010457,0.07142857142857142,0.000562429696287961,70.0,-1.0,0.5555555555555556,-0.0034995625546806464,0.373015873015873,-0.004936882889638783,0.351168462971306,0.006775739874725739,0.24639278598439823,0.0062059198914672375,93.0,-1.0,33.0,0.0,0.4838709677419355,-0.005490734385724061,0.7575757575757576,0.0,4.0,-2.0,0.14316016645025886,-0.5582676935878395,0.5726406658010355,-3.6359264944275544,4.0,-2.0,0.14316016645025886,-0.5582676935878395,-65.19370302536512,-7.687451351367571
signal,pb30_fib_42_72,Test slightly deeper controlled 30m pullbacks.,0.0,True,min_additive_total_r,False,147.03747523795826,126.855034999996,-6.154900000000097,0.6604035093312425,-0.020495140823542868,83.87124568506779,-2.6028828845899454,127.0,0.0,2.2975538178643733,0.0,2.035904782203207,-0.04636091745124915,2.3032694937634046,-0.040446017364075715,13.68037642663078,0.0,0.333814470969867,-0.0041350020228830275,2.9231961157510695,-0.037935811648045714,0.9292545670739842,-0.0027657955258874045,0.23622047244094488,0.0,0.33070866141732286,0.0,0.07086614173228346,0.0,71.0,0.0,0.5590551181102362,0.0,0.3779527559055118,0.0,0.3504419433478301,0.0060492202512498205,0.2456160821145335,0.005429216021602512,94.0,0.0,33.0,0.0,0.48936170212765956,0.0,0.7575757575757576,0.0,5.0,-1.0,0.1759959906349602,-0.5254318694031381,0.8799799531748009,-3.328587207053789,5.0,-1.0,0.1759959906349602,-0.5254318694031381,-65.19370302536512,-6.761843959242412
signal,pb30_ma_fast_slope,Filter 30m pullbacks by true fast MA slope.,64.07929506524142,False,,False,150.7158626281141,130.44700000000034,-2.562934999995747,0.6719328816019166,-0.008965768552868791,84.66354308184148,-1.8105854878162546,126.0,-1.0,2.2794628429205592,-0.018090974943814064,2.072998211847841,-0.009267487806615016,2.315580948288362,-0.028134562839118527,13.680023287302165,-0.00035313932861491537,0.3379388502728239,-1.0622719926134394e-05,2.942086841376157,-0.01904508602295829,0.9137645340796591,-0.01825582852021257,0.23809523809523808,0.0018747656542932034,0.3333333333333333,0.002624671916010457,0.07142857142857142,0.000562429696287961,71.0,0.0,0.5634920634920635,0.004436945381827262,0.373015873015873,-0.004936882889638783,0.34859274260515255,0.004200019508572295,0.24119445869709313,0.0010075926041621386,93.0,-1.0,33.0,0.0,0.4946236559139785,0.00526195378631894,0.7575757575757576,0.0,5.0,-1.0,0.47900445320263974,-0.22242340683545858,2.3950222660131986,-1.8135448942153913,5.0,-1.0,0.47900445320263974,-0.22242340683545858,-1.1144079601236996,-3.0834565690865645
